symbol,name,group,subgroup,summary,reference_url,analysis_date
00700.TW,富邦恒生國企,區域配置,港股藍籌,追蹤恒生中國企業指數，包含在香港上市的大型中國企業。,https://www.fubon.com/asset-management/,2026-05-10
00701.TW,國泰股利精選30,收益策略,低波動高股息,篩選現金股利穩定且股價波動較低之 30 檔台股。,https://www.cathayholdings.com/at/,2026-05-10
00702.TW,國泰標普低波高息,收益策略,全全球低波高息,追蹤 S&P 500 低波動高股息指數，分散投資於美國優質標的。,https://www.cathayholdings.com/at/,2026-05-10
00703.TW,台新MSCI中國,區域配置,A股寬基,追蹤 MSCI 中國指數，涵蓋 A 股、H 股及海外掛牌中概股。,https://www.tsit.com.tw/,2026-05-10
00706L.TW,期元大S&P日圓正2,外匯市場,槓桿型日圓,追蹤日圓兌美元匯率單日正向 2 倍表現。,https://www.yuantafunds.com/,2026-05-10
00707R.TW,期元大S&P日圓反1,外匯市場,反向型日圓,追蹤日圓兌美元匯率單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00708L.TW,期元大S&P黃金正2,商品能源,槓桿型黃金,追蹤黃金期貨單日正向 2 倍表現。,https://www.yuantafunds.com/,2026-05-10
00709.TW,富邦歐洲,區域配置,歐股寬基,追蹤歐洲 STOXX 600 指數，反映歐洲市場整體動態。,https://www.fubon.com/asset-management/,2026-05-10
00710B.TW,復華彭博非投等債,債券市場,高收益債,追蹤非投資等級公司債指數，追求較高配息收益。,https://www.fhtrust.com.tw/,2026-05-10
00711B.TW,復華彭博新興債,債券市場,新興市場債,追蹤新興市場美元計價債券，涵蓋多國政府及公司債。,https://www.fhtrust.com.tw/,2026-05-10
00712.TW,復華富時不動產,房地產建築,美國抵押貸款 REITs,追蹤富時北美抵押貸款不動產投資信託指數，具高息特性。,https://www.fhtrust.com.tw/,2026-05-10
00713.TW,元大台灣高息低波,收益策略,低波動高股息,結合高股息、營運品質與低波動因子，適合作為長期存股標的。,https://www.yuantafunds.com/,2026-05-10
00714.TW,群益道瓊美國地產,房地產建築,美國權益型 REITs,追蹤道瓊美國房地產指數，涵蓋住宅、辦公、物流等 REITs。,https://www.capitalfund.com.tw/,2026-05-10
00715L.TW,期街口布蘭特正2,商品能源,槓桿型原油,追蹤布蘭特原油期貨單日正向 2 倍表現，波動極大。,https://www.jkofunds.com.tw/,2026-05-10
00717.TW,富邦美國特別股,資產管理,美國特別股,追蹤標普美國特別股指數，具股債混合特性，息率較高。,https://www.fubon.com/asset-management/,2026-05-10
00719B.TWO,元大美債1-3,債券市場,短天期公債,追蹤 1-3 年期美債，風險極低，多作為短期資金配置。,https://www.yuantafunds.com/,2026-05-10
00720B.TWO,元大投資級公司債,債券市場,投資等級公司債,追蹤彭博 20 年期以上投資等級公司債指數。,https://www.yuantafunds.com/,2026-05-10
00722B.TWO,群益投資級電信債,通訊傳播,電信債券,鎖定全球電信業發行之投資等級債券，現金流穩定。,https://www.capitalfund.com.tw/,2026-05-10
00723B.TWO,群益投資級科技債,核心科技板塊,科技公司債,投資全球科技巨頭發行之投資等級債券。,https://www.capitalfund.com.tw/,2026-05-10
00724B.TWO,群益投資級金融債,金融服務,金融公司債,投資全球大型金融機構發行之投資等級債券。,https://www.capitalfund.com.tw/,2026-05-10
00725B.TWO,國泰投資級公司債,債券市場,投資等級公司債,追蹤彭博 10 年期以上投資等級 BBB 公司債指數。,https://www.cathayholdings.com/at/,2026-05-10
00726B.TWO,國泰新興投等債,債券市場,新興投資等級債,鎖定新興市場國家中信用評等佳之主權或公司債。,https://www.cathayholdings.com/at/,2026-05-10
00727B.TWO,國泰優選非投等債,債券市場,高收益債,追蹤彭博優選非投資等級債券指數。,https://www.cathayholdings.com/at/,2026-05-10
00728.TW,第一金工業30,核心寬基,工業龍頭,追蹤臺灣工業指數，選取獲利佳且具成長性之 30 檔工業股。,https://www.fsitc.com.tw/,2026-05-10
00730.TW,富邦臺灣優質高息,收益策略,高殖利率股,篩選符合財務結構穩定且配息優良之台股標的。,https://www.fubon.com/asset-management/,2026-05-10
00731.TW,復華富時高息低波,收益策略,低波動高股息,結合高股息與低波動策略，聚焦台股大型權值標的。,https://www.fhtrust.com.tw/,2026-05-10
00733.TW,富邦臺灣中小,核心寬基,中小動能股,追蹤臺灣指數公司中小型 A 股動能指數，爆發力強。,https://www.fubon.com/asset-management/,2026-05-10
00734B.TWO,台新JPM新興債,債券市場,新興市場債,追蹤摩根大通新興市場本國貨幣債券指數。,https://www.tsit.com.tw/,2026-05-10
00735.TW,國泰臺韓科技,核心科技板塊,台韓領先科技,結合台韓兩地科技龍頭（如台積電、三星），鎖定半導體優勢。,https://www.cathayholdings.com/at/,2026-05-10
00736.TW,國泰新興市場,區域配置,新興市場寬基,追蹤 MSCI 新興市場指數，分散投資於全球新興經濟體。,https://www.cathayholdings.com/at/,2026-05-10
00737.TW,國泰AI機器人,核心科技板塊,AI 與自動化,鎖定全球人工智慧、機器人組裝、感知元件等相關企業。,https://www.cathayholdings.com/at/,2026-05-10
00738U.TW,期元大道瓊白銀,商品能源,白銀期貨,追蹤道瓊白銀期貨指數，反映國際白銀現貨波動。,https://www.yuantafunds.com/,2026-05-10
00739.TW,元大MSCI A股,區域配置,A 股寬基,追蹤 MSCI 中國 A 股指數，為外資進入 A 股市場的參考標準。,https://www.yuantafunds.com/,2026-05-10
00740B.TWO,富邦全球投等債,債券市場,投資等級債,投資全球範圍內信評佳之投資等級債券。,https://www.fubon.com/asset-management/,2026-05-10
00741B.TWO,富邦全球非投等債,債券市場,高收益債,投資全球範圍內之非投資等級債券。,https://www.fubon.com/asset-management/,2026-05-10
00746B.TWO,富邦A級公司債,債券市場,A 級投資等級債,鎖定信評 A 以上之公司債，提供較高的安全性。,https://www.fubon.com/asset-management/,2026-05-10
00749B.TWO,凱基新興債10+,債券市場,長天期新興債,鎖定 10 年期以上之新興市場美元債券。,https://www.kgifund.com.tw/,2026-05-10
00750B.TWO,凱基科技債10+,核心科技板塊,長天期科技債,鎖定 10 年期以上之全球科技產業投資等級債。,https://www.kgifund.com.tw/,2026-05-10
00751B.TWO,元大AAA至A公司債,債券市場,高信評公司債,投資全球大型企業中信評達 AAA 至 A 級之公司債，防禦性強。,https://www.yuantafunds.com/,2026-05-10
00752.TW,中信中國50,區域配置,港美中概股,追蹤 MSCI 中國外資自由投資 50 指數，鎖定新經濟龍頭（如騰訊、美團）。,https://www.ctbcbank.com/,2026-05-10
00753L.TW,中信中國50正2,槓桿策略,雙倍槓桿中概股,追蹤 MSCI 中國 50 指數單日正向 2 倍表現，參與新經濟成長。,https://www.ctbcbank.com/,2026-05-10
00754B.TWO,群益AAA-AA公司債,債券市場,極高信評公司債,鎖定全球信評最高的 AA 級以上公司債。,https://www.capitalfund.com.tw/,2026-05-10
00755B.TWO,群益投資級公用債,公用事業,電力水務債,鎖定全球公用事業發行之投資等級債券，受景氣波動影響小。,https://www.capitalfund.com.tw/,2026-05-10
00756B.TWO,群益投等新興公債,債券市場,新興主權債,鎖定新興市場國家之投資等級主權債。,https://www.capitalfund.com.tw/,2026-05-10
00757.TW,統一FANG+,核心科技板塊,科技巨頭,鎖定 10 檔全球頂尖科技巨頭（如 NVIDIA、Apple、Meta），極具進攻性。,https://www.upro.com.tw/,2026-05-10
00758B.TWO,復華能源債,商品能源,能源公司債,投資全球大型能源、石油與天然氣企業發行之公司債。,https://www.fhtrust.com.tw/,2026-05-10
00759B.TWO,復華製藥債,醫療保健,製藥產業債,鎖定全球大型製藥與生醫企業發行之公司債。,https://www.fhtrust.com.tw/,2026-05-10
00760B.TWO,復華新興企業債,債券市場,新興公司債,投資新興市場中具有競爭力之企業債。,https://www.fhtrust.com.tw/,2026-05-10
00761B.TWO,國泰A級公司債,債券市場,A 級投資等級債,鎖定彭博 10 年期以上 A 等級公司債指數。,https://www.cathayholdings.com/at/,2026-05-10
00762.TW,元大全球AI,核心科技板塊,人工智慧,追蹤 STOXX 全球人工智慧指數，涵蓋算力、演算法與大數據企業。,https://www.yuantafunds.com/,2026-05-10
00763U.TW,期街口道瓊銅,商品能源,工業金屬,追蹤道瓊銅期貨指數，反映工業需求與全球景氣。,https://www.jkofunds.com.tw/,2026-05-10
00764B.TWO,群益25年美債,債券市場,超長天期公債,追蹤 25 年期以上美債，為目前市場上存續期間最長的債券 ETF 之一。,https://www.capitalfund.com.tw/,2026-05-10
00768B.TWO,復華20年美債,債券市場,長天期公債,提供另一種長天期美債的投資管道。,https://www.fhtrust.com.tw/,2026-05-10
00770.TW,國泰北美科技,核心科技板塊,北美科技成長,追蹤標普北美科技指數，專注於美國與加拿大的軟硬體企業。,https://www.cathayholdings.com/at/,2026-05-10
00771.TW,元大US高息特別股,資產管理,美國特別股,追蹤標普美國高息特別股指數，側重高股息現金流。,https://www.yuantafunds.com/,2026-05-10
00772B.TWO,中信高評級公司債,債券市場,月配息公司債,追蹤彭博 10 年期以上高評級公司債，採「月配息」機制。,https://www.ctbcbank.com/,2026-05-10
00773B.TWO,中信優先金融債,金融服務,金融債券,追蹤彭博 10 年期以上優先順位金融債，安全性高且月配息。,https://www.ctbcbank.com/,2026-05-10
00775B.TW,新光投等債15+,債券市場,中長天期公司債,鎖定 15 年期以上投資等級公司債。,https://www.skit.com.tw/,2026-05-10
00777B.TWO,凱基AAA至A公司債,債券市場,高信評公司債,鎖定全球大型高信評企業債券。,https://www.kgifund.com.tw/,2026-05-10
00778B.TWO,凱基金融債20+,金融服務,長天期金融債,投資全球大型銀行發行之 20 年期以上債券。,https://www.kgifund.com.tw/,2026-05-10
00779B.TWO,凱基美債25+,債券市場,超長天期公債,參與美債 25 年期以上之價格波動。,https://www.kgifund.com.tw/,2026-05-10
00780B.TWO,國泰A級金融債,金融服務,金融債券,鎖定信評 A 等級以上之全球金融機構債。,https://www.cathayholdings.com/at/,2026-05-10
00781B.TWO,國泰A級科技債,核心科技板塊,科技公司債,投資信評 A 等級以上之全球科技龍頭債。,https://www.cathayholdings.com/at/,2026-05-10
00782B.TWO,國泰A級公用債,公用事業,公用事業債,鎖定信評 A 等級以上之公用事業公司債。,https://www.cathayholdings.com/at/,2026-05-10
00783.TW,富邦中証500,區域配置,中國中盤股,追蹤中証 500 指數，鎖定中國 A 股最具代表性的中型成長股。,https://www.fubon.com/asset-management/,2026-05-10
00785B.TWO,富邦金融投等債,金融服務,金融債券,鎖定金融產業投資等級公司債。,https://www.fubon.com/asset-management/,2026-05-10
00786B.TWO,元大10年IG銀行債,金融服務,銀行債,鎖定 10 年期以上全球銀行業投資等級債。,https://www.yuantafunds.com/,2026-05-10
00787B.TWO,元大10年IG醫療債,醫療保健,醫療債,鎖定 10 年期以上全球醫療產業投資等級債。,https://www.yuantafunds.com/,2026-05-10
00788B.TWO,元大10年IG電能債,公用事業,能源電能債,鎖定 10 年期以上全球公用電能產業投資等級債。,https://www.yuantafunds.com/,2026-05-10
00789B.TWO,復華公司債A3,債券市場,A級公司債,鎖定彭博 10 年期以上 A3 等級以上公司債。,https://www.fhtrust.com.tw/,2026-05-10
00791B.TWO,復華信用債1-5,債券市場,短期信用債,鎖定 1-5 年期短期投資等級信用債。,https://www.fhtrust.com.tw/,2026-05-10
00792B.TWO,群益A級公司債,債券市場,A 級投資等級債,投資全球 10 年期以上 A 級投資等級債。,https://www.capitalfund.com.tw/,2026-05-10
00793B.TWO,群益AAA-A醫療債,醫療保健,醫療債,鎖定 AAA 至 A 級之醫療產業債券。,https://www.capitalfund.com.tw/,2026-05-10
00795B.TWO,中信美國公債20年,債券市場,長天期公債,中信推出的長天期美債工具。,https://www.ctbcbank.com/,2026-05-10
00799B.TWO,國泰A級醫療債,醫療保健,醫療債,鎖定 A 等級以上全球醫療產業債券。,https://www.cathayholdings.com/at/,2026-05-10
00830.TW,國泰費城半導體,核心科技板塊,半導體龍頭,追蹤費城半導體指數 (SOX)，包含台積電 ADR、NVIDIA、Intel 等。,https://www.cathayholdings.com/at/,2026-05-10
00834B.TWO,第一金金融債10+,金融服務,金融債券,鎖定 10 年期以上全球金融機構債。,https://www.fsitc.com.tw/,2026-05-10
00836B.TWO,永豐10年A公司債,債券市場,A 級投資等級債,鎖定 10 年期以上 A 級投資等級公司債。,https://sitc.sinopac.com/,2026-05-10
00840B.TWO,凱基IG精選15+,債券市場,中長天期公司債,鎖定 15 年期以上之全球投資等級精選公司債。,https://www.kgifund.com.tw/,2026-05-10
00841B.TWO,凱基AAA-AA公司債,債券市場,極高信評公司債,投資全球最高信用等級（AA級以上）之企業債券。,https://www.kgifund.com.tw/,2026-05-10
00842B.TWO,台新美元銀行債,金融服務,銀行公司債,鎖定美元計價之全球大型銀行發行之債券。,https://www.tsit.com.tw/,2026-05-10
00844B.TWO,新光15年IG金融債,金融服務,長天期金融債,投資 15 年期以上之全球金融機構投資等級債券。,https://www.skit.com.tw/,2026-05-10
00845B.TWO,富邦新興投等債,債券市場,新興投資等級債,鎖定新興市場中具有投資等級信用評分之主權或公司債。,https://www.fubon.com/asset-management/,2026-05-10
00846B.TWO,富邦歐洲銀行債,金融服務,歐元銀行債,鎖定歐洲大型銀行發行之投資等級債券。,https://www.fubon.com/asset-management/,2026-05-10
00847B.TWO,中信美國市政債,債券市場,美國地方政府債,鎖定美國地方政府發行之市政債券，通常具有節稅與低違約特性。,https://www.ctbcbank.com/,2026-05-10
00848B.TWO,中信新興亞洲債,區域配置,亞洲債券,投資亞洲（除日本外）新興國家之投資等級債券。,https://www.ctbcbank.com/,2026-05-10
00849B.TWO,中信EM主權債0-5,債券市場,短期新興主權債,鎖定 5 年期以下之新興市場美元計價主權債，波動度較低。,https://www.ctbcbank.com/,2026-05-10
00850.TW,元大臺灣ESG永續,ESG 永續,台股 ESG 寬基,追蹤臺灣 ESG 永續指數，成分股類似 0050 但加入 ESG 評鑑篩選。,https://www.yuantafunds.com/,2026-05-10
00851.TW,台新全球AI,核心科技板塊,人工智慧,鎖定全球在 AI 演算法、數據處理及硬體設備領先之企業。,https://www.tsit.com.tw/,2026-05-10
00852L.TW,國泰美國道瓊正2,槓桿策略,美股槓桿,追蹤道瓊工業平均指數單日正向 2 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
