symbol,name,market,industry,llm_input
00676R.TW,富邦臺灣加權反1,上市,ETF,00676R.TW 富邦臺灣加權反1；市場：上市；官方產業別：ETF
00678.TW,群益那斯達克生技,上市,ETF,00678.TW 群益那斯達克生技；市場：上市；官方產業別：ETF
00679B.TWO,元大美債20年,上櫃,ETF,00679B.TWO 元大美債20年；市場：上櫃；官方產業別：ETF
00680L.TW,元大美債20正2,上市,ETF,00680L.TW 元大美債20正2；市場：上市；官方產業別：ETF
00681R.TW,元大美債20反1,上市,ETF,00681R.TW 元大美債20反1；市場：上市；官方產業別：ETF
00682U.TW,期元大美元指數,上市,ETF,00682U.TW 期元大美元指數；市場：上市；官方產業別：ETF
00683L.TW,期元大美元指正2,上市,ETF,00683L.TW 期元大美元指正2；市場：上市；官方產業別：ETF
00684R.TW,期元大美元指反1,上市,ETF,00684R.TW 期元大美元指反1；市場：上市；官方產業別：ETF
00685L.TW,群益臺灣加權正2,上市,ETF,00685L.TW 群益臺灣加權正2；市場：上市；官方產業別：ETF
00686R.TW,群益臺灣加權反1,上市,ETF,00686R.TW 群益臺灣加權反1；市場：上市；官方產業別：ETF
00687B.TWO,國泰20年美債,上櫃,ETF,00687B.TWO 國泰20年美債；市場：上櫃；官方產業別：ETF
00687C.TWO,國泰20年美債+櫃U,上櫃,ETF,00687C.TWO 國泰20年美債+櫃U；市場：上櫃；官方產業別：ETF
00688L.TW,國泰20年美債正2,上市,ETF,00688L.TW 國泰20年美債正2；市場：上市；官方產業別：ETF
00689R.TW,國泰20年美債反1,上市,ETF,00689R.TW 國泰20年美債反1；市場：上市；官方產業別：ETF
00690.TW,兆豐藍籌30,上市,ETF,00690.TW 兆豐藍籌30；市場：上市；官方產業別：ETF
00692.TW,富邦公司治理,上市,ETF,00692.TW 富邦公司治理；市場：上市；官方產業別：ETF
00693U.TW,期街口S&P黃豆,上市,ETF,00693U.TW 期街口S&P黃豆；市場：上市；官方產業別：ETF
00694B.TWO,富邦美債1-3,上櫃,ETF,00694B.TWO 富邦美債1-3；市場：上櫃；官方產業別：ETF
00695B.TWO,富邦美債7-10,上櫃,ETF,00695B.TWO 富邦美債7-10；市場：上櫃；官方產業別：ETF
00696B.TWO,富邦美債20年,上櫃,ETF,00696B.TWO 富邦美債20年；市場：上櫃；官方產業別：ETF
00697B.TWO,元大美債7-10,上櫃,ETF,00697B.TWO 元大美債7-10；市場：上櫃；官方產業別：ETF
00700.TW,富邦恒生國企,上市,ETF,00700.TW 富邦恒生國企；市場：上市；官方產業別：ETF
00701.TW,國泰股利精選30,上市,ETF,00701.TW 國泰股利精選30；市場：上市；官方產業別：ETF
00702.TW,國泰標普低波高息,上市,ETF,00702.TW 國泰標普低波高息；市場：上市；官方產業別：ETF
00703.TW,台新MSCI中國,上市,ETF,00703.TW 台新MSCI中國；市場：上市；官方產業別：ETF
00706L.TW,期元大S&P日圓正2,上市,ETF,00706L.TW 期元大S&P日圓正2；市場：上市；官方產業別：ETF
00707R.TW,期元大S&P日圓反1,上市,ETF,00707R.TW 期元大S&P日圓反1；市場：上市；官方產業別：ETF
00708L.TW,期元大S&P黃金正2,上市,ETF,00708L.TW 期元大S&P黃金正2；市場：上市；官方產業別：ETF
00709.TW,富邦歐洲,上市,ETF,00709.TW 富邦歐洲；市場：上市；官方產業別：ETF
00710B.TW,復華彭博非投等債,上市,ETF,00710B.TW 復華彭博非投等債；市場：上市；官方產業別：ETF
00711B.TW,復華彭博新興債,上市,ETF,00711B.TW 復華彭博新興債；市場：上市；官方產業別：ETF
00712.TW,復華富時不動產,上市,ETF,00712.TW 復華富時不動產；市場：上市；官方產業別：ETF
00713.TW,元大台灣高息低波,上市,ETF,00713.TW 元大台灣高息低波；市場：上市；官方產業別：ETF
00714.TW,群益道瓊美國地產,上市,ETF,00714.TW 群益道瓊美國地產；市場：上市；官方產業別：ETF
00715L.TW,期街口布蘭特正2,上市,ETF,00715L.TW 期街口布蘭特正2；市場：上市；官方產業別：ETF
00717.TW,富邦美國特別股,上市,ETF,00717.TW 富邦美國特別股；市場：上市；官方產業別：ETF
00719B.TWO,元大美債1-3,上櫃,ETF,00719B.TWO 元大美債1-3；市場：上櫃；官方產業別：ETF
00720B.TWO,元大投資級公司債,上櫃,ETF,00720B.TWO 元大投資級公司債；市場：上櫃；官方產業別：ETF
00722B.TWO,群益投資級電信債,上櫃,ETF,00722B.TWO 群益投資級電信債；市場：上櫃；官方產業別：ETF
00723B.TWO,群益投資級科技債,上櫃,ETF,00723B.TWO 群益投資級科技債；市場：上櫃；官方產業別：ETF
00724B.TWO,群益投資級金融債,上櫃,ETF,00724B.TWO 群益投資級金融債；市場：上櫃；官方產業別：ETF
00725B.TWO,國泰投資級公司債,上櫃,ETF,00725B.TWO 國泰投資級公司債；市場：上櫃；官方產業別：ETF
00726B.TWO,國泰新興投等債,上櫃,ETF,00726B.TWO 國泰新興投等債；市場：上櫃；官方產業別：ETF
00727B.TWO,國泰優選非投等債,上櫃,ETF,00727B.TWO 國泰優選非投等債；市場：上櫃；官方產業別：ETF
00728.TW,第一金工業30,上市,ETF,00728.TW 第一金工業30；市場：上市；官方產業別：ETF
00730.TW,富邦臺灣優質高息,上市,ETF,00730.TW 富邦臺灣優質高息；市場：上市；官方產業別：ETF
00731.TW,復華富時高息低波,上市,ETF,00731.TW 復華富時高息低波；市場：上市；官方產業別：ETF
00733.TW,富邦臺灣中小,上市,ETF,00733.TW 富邦臺灣中小；市場：上市；官方產業別：ETF
00734B.TWO,台新JPM新興債,上櫃,ETF,00734B.TWO 台新JPM新興債；市場：上櫃；官方產業別：ETF
00735.TW,國泰臺韓科技,上市,ETF,00735.TW 國泰臺韓科技；市場：上市；官方產業別：ETF
00736.TW,國泰新興市場,上市,ETF,00736.TW 國泰新興市場；市場：上市；官方產業別：ETF
00737.TW,國泰AI機器人,上市,ETF,00737.TW 國泰AI機器人；市場：上市；官方產業別：ETF
00738U.TW,期元大道瓊白銀,上市,ETF,00738U.TW 期元大道瓊白銀；市場：上市；官方產業別：ETF
00739.TW,元大MSCI A股,上市,ETF,00739.TW 元大MSCI A股；市場：上市；官方產業別：ETF
00740B.TWO,富邦全球投等債,上櫃,ETF,00740B.TWO 富邦全球投等債；市場：上櫃；官方產業別：ETF
00741B.TWO,富邦全球非投等債,上櫃,ETF,00741B.TWO 富邦全球非投等債；市場：上櫃；官方產業別：ETF
00746B.TWO,富邦A級公司債,上櫃,ETF,00746B.TWO 富邦A級公司債；市場：上櫃；官方產業別：ETF
00749B.TWO,凱基新興債10+,上櫃,ETF,00749B.TWO 凱基新興債10+；市場：上櫃；官方產業別：ETF
00750B.TWO,凱基科技債10+,上櫃,ETF,00750B.TWO 凱基科技債10+；市場：上櫃；官方產業別：ETF
00751B.TWO,元大AAA至A公司債,上櫃,ETF,00751B.TWO 元大AAA至A公司債；市場：上櫃；官方產業別：ETF
00752.TW,中信中國50,上市,ETF,00752.TW 中信中國50；市場：上市；官方產業別：ETF
00753L.TW,中信中國50正2,上市,ETF,00753L.TW 中信中國50正2；市場：上市；官方產業別：ETF
00754B.TWO,群益AAA-AA公司債,上櫃,ETF,00754B.TWO 群益AAA-AA公司債；市場：上櫃；官方產業別：ETF
00755B.TWO,群益投資級公用債,上櫃,ETF,00755B.TWO 群益投資級公用債；市場：上櫃；官方產業別：ETF
00756B.TWO,群益投等新興公債,上櫃,ETF,00756B.TWO 群益投等新興公債；市場：上櫃；官方產業別：ETF
00757.TW,統一FANG+,上市,ETF,00757.TW 統一FANG+；市場：上市；官方產業別：ETF
00758B.TWO,復華能源債,上櫃,ETF,00758B.TWO 復華能源債；市場：上櫃；官方產業別：ETF
00759B.TWO,復華製藥債,上櫃,ETF,00759B.TWO 復華製藥債；市場：上櫃；官方產業別：ETF
00760B.TWO,復華新興企業債,上櫃,ETF,00760B.TWO 復華新興企業債；市場：上櫃；官方產業別：ETF
00761B.TWO,國泰A級公司債,上櫃,ETF,00761B.TWO 國泰A級公司債；市場：上櫃；官方產業別：ETF
00762.TW,元大全球AI,上市,ETF,00762.TW 元大全球AI；市場：上市；官方產業別：ETF
00763U.TW,期街口道瓊銅,上市,ETF,00763U.TW 期街口道瓊銅；市場：上市；官方產業別：ETF
00764B.TWO,群益25年美債,上櫃,ETF,00764B.TWO 群益25年美債；市場：上櫃；官方產業別：ETF
00768B.TWO,復華20年美債,上櫃,ETF,00768B.TWO 復華20年美債；市場：上櫃；官方產業別：ETF
00770.TW,國泰北美科技,上市,ETF,00770.TW 國泰北美科技；市場：上市；官方產業別：ETF
00771.TW,元大US高息特別股,上市,ETF,00771.TW 元大US高息特別股；市場：上市；官方產業別：ETF
00772B.TWO,中信高評級公司債,上櫃,ETF,00772B.TWO 中信高評級公司債；市場：上櫃；官方產業別：ETF
00773B.TWO,中信優先金融債,上櫃,ETF,00773B.TWO 中信優先金融債；市場：上櫃；官方產業別：ETF
00775B.TW,新光投等債15+,上市,ETF,00775B.TW 新光投等債15+；市場：上市；官方產業別：ETF
00777B.TWO,凱基AAA至A公司債,上櫃,ETF,00777B.TWO 凱基AAA至A公司債；市場：上櫃；官方產業別：ETF
00778B.TWO,凱基金融債20+,上櫃,ETF,00778B.TWO 凱基金融債20+；市場：上櫃；官方產業別：ETF
00779B.TWO,凱基美債25+,上櫃,ETF,00779B.TWO 凱基美債25+；市場：上櫃；官方產業別：ETF
00780B.TWO,國泰A級金融債,上櫃,ETF,00780B.TWO 國泰A級金融債；市場：上櫃；官方產業別：ETF
00781B.TWO,國泰A級科技債,上櫃,ETF,00781B.TWO 國泰A級科技債；市場：上櫃；官方產業別：ETF
00782B.TWO,國泰A級公用債,上櫃,ETF,00782B.TWO 國泰A級公用債；市場：上櫃；官方產業別：ETF
00783.TW,富邦中証500,上市,ETF,00783.TW 富邦中証500；市場：上市；官方產業別：ETF
00785B.TWO,富邦金融投等債,上櫃,ETF,00785B.TWO 富邦金融投等債；市場：上櫃；官方產業別：ETF
00786B.TWO,元大10年IG銀行債,上櫃,ETF,00786B.TWO 元大10年IG銀行債；市場：上櫃；官方產業別：ETF
00787B.TWO,元大10年IG醫療債,上櫃,ETF,00787B.TWO 元大10年IG醫療債；市場：上櫃；官方產業別：ETF
00788B.TWO,元大10年IG電能債,上櫃,ETF,00788B.TWO 元大10年IG電能債；市場：上櫃；官方產業別：ETF
00789B.TWO,復華公司債A3,上櫃,ETF,00789B.TWO 復華公司債A3；市場：上櫃；官方產業別：ETF
00791B.TWO,復華信用債1-5,上櫃,ETF,00791B.TWO 復華信用債1-5；市場：上櫃；官方產業別：ETF
00792B.TWO,群益A級公司債,上櫃,ETF,00792B.TWO 群益A級公司債；市場：上櫃；官方產業別：ETF
00793B.TWO,群益AAA-A醫療債,上櫃,ETF,00793B.TWO 群益AAA-A醫療債；市場：上櫃；官方產業別：ETF
00795B.TWO,中信美國公債20年,上櫃,ETF,00795B.TWO 中信美國公債20年；市場：上櫃；官方產業別：ETF
00799B.TWO,國泰A級醫療債,上櫃,ETF,00799B.TWO 國泰A級醫療債；市場：上櫃；官方產業別：ETF
00830.TW,國泰費城半導體,上市,ETF,00830.TW 國泰費城半導體；市場：上市；官方產業別：ETF
00834B.TWO,第一金金融債10+,上櫃,ETF,00834B.TWO 第一金金融債10+；市場：上櫃；官方產業別：ETF
00836B.TWO,永豐10年A公司債,上櫃,ETF,00836B.TWO 永豐10年A公司債；市場：上櫃；官方產業別：ETF
00840B.TWO,凱基IG精選15+,上櫃,ETF,00840B.TWO 凱基IG精選15+；市場：上櫃；官方產業別：ETF
00841B.TWO,凱基AAA-AA公司債,上櫃,ETF,00841B.TWO 凱基AAA-AA公司債；市場：上櫃；官方產業別：ETF
00842B.TWO,台新美元銀行債,上櫃,ETF,00842B.TWO 台新美元銀行債；市場：上櫃；官方產業別：ETF
00844B.TWO,新光15年IG金融債,上櫃,ETF,00844B.TWO 新光15年IG金融債；市場：上櫃；官方產業別：ETF
00845B.TWO,富邦新興投等債,上櫃,ETF,00845B.TWO 富邦新興投等債；市場：上櫃；官方產業別：ETF
00846B.TWO,富邦歐洲銀行債,上櫃,ETF,00846B.TWO 富邦歐洲銀行債；市場：上櫃；官方產業別：ETF
00847B.TWO,中信美國市政債,上櫃,ETF,00847B.TWO 中信美國市政債；市場：上櫃；官方產業別：ETF
00848B.TWO,中信新興亞洲債,上櫃,ETF,00848B.TWO 中信新興亞洲債；市場：上櫃；官方產業別：ETF
00849B.TWO,中信EM主權債0-5,上櫃,ETF,00849B.TWO 中信EM主權債0-5；市場：上櫃；官方產業別：ETF
00850.TW,元大臺灣ESG永續,上市,ETF,00850.TW 元大臺灣ESG永續；市場：上市；官方產業別：ETF
00851.TW,台新全球AI,上市,ETF,00851.TW 台新全球AI；市場：上市；官方產業別：ETF
00852L.TW,國泰美國道瓊正2,上市,ETF,00852L.TW 國泰美國道瓊正2；市場：上市；官方產業別：ETF
00853B.TWO,統一美債10年Aa-A,上櫃,ETF,00853B.TWO 統一美債10年Aa-A；市場：上櫃；官方產業別：ETF
00856B.TWO,永豐1-3年美公債,上櫃,ETF,00856B.TWO 永豐1-3年美公債；市場：上櫃；官方產業別：ETF
00857B.TWO,永豐20年美公債,上櫃,ETF,00857B.TWO 永豐20年美公債；市場：上櫃；官方產業別：ETF
00858.TWO,永豐美國500大,上櫃,ETF,00858.TWO 永豐美國500大；市場：上櫃；官方產業別：ETF
00859B.TWO,群益0-1年美債,上櫃,ETF,00859B.TWO 群益0-1年美債；市場：上櫃；官方產業別：ETF
00860B.TWO,群益1-5Y投資級債,上櫃,ETF,00860B.TWO 群益1-5Y投資級債；市場：上櫃；官方產業別：ETF
00861.TW,元大全球未來通訊,上市,ETF,00861.TW 元大全球未來通訊；市場：上市；官方產業別：ETF
00862B.TWO,中信投資級公司債,上櫃,ETF,00862B.TWO 中信投資級公司債；市場：上櫃；官方產業別：ETF
00863B.TWO,中信全球電信債,上櫃,ETF,00863B.TWO 中信全球電信債；市場：上櫃；官方產業別：ETF
00864B.TWO,中信美國公債0-1,上櫃,ETF,00864B.TWO 中信美國公債0-1；市場：上櫃；官方產業別：ETF
00865B.TW,國泰US短期公債,上市,ETF,00865B.TW 國泰US短期公債；市場：上市；官方產業別：ETF
00867B.TWO,新光A-BBB電信債,上櫃,ETF,00867B.TWO 新光A-BBB電信債；市場：上櫃；官方產業別：ETF
00870B.TWO,元大15年EM主權債,上櫃,ETF,00870B.TWO 元大15年EM主權債；市場：上櫃；官方產業別：ETF
00875.TW,國泰網路資安,上市,ETF,00875.TW 國泰網路資安；市場：上市；官方產業別：ETF
00876.TW,元大全球5G,上市,ETF,00876.TW 元大全球5G；市場：上市；官方產業別：ETF
00877.TWO,復華中國5G,上櫃,ETF,00877.TWO 復華中國5G；市場：上櫃；官方產業別：ETF
00878.TW,國泰永續高股息,上市,ETF,00878.TW 國泰永續高股息；市場：上市；官方產業別：ETF
00881.TW,國泰台灣科技龍頭,上市,ETF,00881.TW 國泰台灣科技龍頭；市場：上市；官方產業別：ETF
00882.TW,中信中國高股息,上市,ETF,00882.TW 中信中國高股息；市場：上市；官方產業別：ETF
00883B.TWO,中信ESG投資級債,上櫃,ETF,00883B.TWO 中信ESG投資級債；市場：上櫃；官方產業別：ETF
00884B.TWO,中信低碳新興債,上櫃,ETF,00884B.TWO 中信低碳新興債；市場：上櫃；官方產業別：ETF
00885.TW,富邦越南,上市,ETF,00885.TW 富邦越南；市場：上市；官方產業別：ETF
00886.TWO,永豐美國科技,上櫃,ETF,00886.TWO 永豐美國科技；市場：上櫃；官方產業別：ETF
00887.TWO,永豐中國科技50大,上櫃,ETF,00887.TWO 永豐中國科技50大；市場：上櫃；官方產業別：ETF
00888.TWO,永豐台灣ESG,上櫃,ETF,00888.TWO 永豐台灣ESG；市場：上櫃；官方產業別：ETF
00890B.TWO,凱基ESG BBB債15+,上櫃,ETF,00890B.TWO 凱基ESG BBB債15+；市場：上櫃；官方產業別：ETF
00891.TW,中信關鍵半導體,上市,ETF,00891.TW 中信關鍵半導體；市場：上市；官方產業別：ETF
00892.TW,富邦台灣半導體,上市,ETF,00892.TW 富邦台灣半導體；市場：上市；官方產業別：ETF
00893.TW,國泰智能電動車,上市,ETF,00893.TW 國泰智能電動車；市場：上市；官方產業別：ETF
00894.TW,中信小資高價30,上市,ETF,00894.TW 中信小資高價30；市場：上市；官方產業別：ETF
00895.TW,富邦未來車,上市,ETF,00895.TW 富邦未來車；市場：上市；官方產業別：ETF
00896.TW,中信綠能及電動車,上市,ETF,00896.TW 中信綠能及電動車；市場：上市；官方產業別：ETF
00897.TW,富邦基因免疫生技,上市,ETF,00897.TW 富邦基因免疫生技；市場：上市；官方產業別：ETF
00898.TW,國泰基因免疫革命,上市,ETF,00898.TW 國泰基因免疫革命；市場：上市；官方產業別：ETF
00899.TW,FT潔淨能源,上市,ETF,00899.TW FT潔淨能源；市場：上市；官方產業別：ETF
00900.TW,富邦特選高股息30,上市,ETF,00900.TW 富邦特選高股息30；市場：上市；官方產業別：ETF
00901.TW,永豐智能車供應鏈,上市,ETF,00901.TW 永豐智能車供應鏈；市場：上市；官方產業別：ETF
00902.TW,中信電池及儲能,上市,ETF,00902.TW 中信電池及儲能；市場：上市；官方產業別：ETF
00903.TW,富邦元宇宙,上市,ETF,00903.TW 富邦元宇宙；市場：上市；官方產業別：ETF
00904.TW,新光臺灣半導體30,上市,ETF,00904.TW 新光臺灣半導體30；市場：上市；官方產業別：ETF
00905.TW,FT臺灣Smart,上市,ETF,00905.TW FT臺灣Smart；市場：上市；官方產業別：ETF
00907.TW,永豐優息存股,上市,ETF,00907.TW 永豐優息存股；市場：上市；官方產業別：ETF
00908.TW,富邦入息REITs+,上市,ETF,00908.TW 富邦入息REITs+；市場：上市；官方產業別：ETF
00909.TW,國泰數位支付服務,上市,ETF,00909.TW 國泰數位支付服務；市場：上市；官方產業別：ETF
00910.TW,第一金太空衛星,上市,ETF,00910.TW 第一金太空衛星；市場：上市；官方產業別：ETF
00911.TW,兆豐洲際半導體,上市,ETF,00911.TW 兆豐洲際半導體；市場：上市；官方產業別：ETF
00912.TW,中信臺灣智慧50,上市,ETF,00912.TW 中信臺灣智慧50；市場：上市；官方產業別：ETF
00913.TW,兆豐台灣晶圓製造,上市,ETF,00913.TW 兆豐台灣晶圓製造；市場：上市；官方產業別：ETF
00915.TW,凱基優選高股息30,上市,ETF,00915.TW 凱基優選高股息30；市場：上市；官方產業別：ETF
00916.TW,國泰全球品牌50,上市,ETF,00916.TW 國泰全球品牌50；市場：上市；官方產業別：ETF
00917.TW,中信特選金融,上市,ETF,00917.TW 中信特選金融；市場：上市；官方產業別：ETF
00918.TW,大華優利高填息30,上市,ETF,00918.TW 大華優利高填息30；市場：上市；官方產業別：ETF
00919.TW,群益台灣精選高息,上市,ETF,00919.TW 群益台灣精選高息；市場：上市；官方產業別：ETF
00920.TW,富邦ESG綠色電力,上市,ETF,00920.TW 富邦ESG綠色電力；市場：上市；官方產業別：ETF
00921.TW,兆豐龍頭等權重,上市,ETF,00921.TW 兆豐龍頭等權重；市場：上市；官方產業別：ETF
00922.TW,國泰台灣領袖50,上市,ETF,00922.TW 國泰台灣領袖50；市場：上市；官方產業別：ETF
00923.TW,群益台ESG低碳50,上市,ETF,00923.TW 群益台ESG低碳50；市場：上市；官方產業別：ETF
00924.TW,復華S&P500成長,上市,ETF,00924.TW 復華S&P500成長；市場：上市；官方產業別：ETF
00926.TW,凱基全球菁英55,上市,ETF,00926.TW 凱基全球菁英55；市場：上市；官方產業別：ETF
00927.TW,群益半導體收益,上市,ETF,00927.TW 群益半導體收益；市場：上市；官方產業別：ETF
00928.TWO,中信上櫃ESG 30,上櫃,ETF,00928.TWO 中信上櫃ESG 30；市場：上櫃；官方產業別：ETF
00929.TW,復華台灣科技優息,上市,ETF,00929.TW 復華台灣科技優息；市場：上市；官方產業別：ETF
00930.TW,永豐ESG低碳高息,上市,ETF,00930.TW 永豐ESG低碳高息；市場：上市；官方產業別：ETF
00931B.TWO,統一美債20年,上櫃,ETF,00931B.TWO 統一美債20年；市場：上櫃；官方產業別：ETF
00932.TW,兆豐永續高息等權,上市,ETF,00932.TW 兆豐永續高息等權；市場：上市；官方產業別：ETF
00933B.TWO,國泰10Y+金融債,上櫃,ETF,00933B.TWO 國泰10Y+金融債；市場：上櫃；官方產業別：ETF
00934.TW,中信成長高股息,上市,ETF,00934.TW 中信成長高股息；市場：上市；官方產業別：ETF
00935.TW,野村臺灣新科技50,上市,ETF,00935.TW 野村臺灣新科技50；市場：上市；官方產業別：ETF
00936.TW,台新永續高息中小,上市,ETF,00936.TW 台新永續高息中小；市場：上市；官方產業別：ETF
00937B.TWO,群益ESG投等債20+,上櫃,ETF,00937B.TWO 群益ESG投等債20+；市場：上櫃；官方產業別：ETF
00938.TW,凱基優選30,上市,ETF,00938.TW 凱基優選30；市場：上市；官方產業別：ETF
00939.TW,統一台灣高息動能,上市,ETF,00939.TW 統一台灣高息動能；市場：上市；官方產業別：ETF
00940.TW,元大台灣價值高息,上市,ETF,00940.TW 元大台灣價值高息；市場：上市；官方產業別：ETF
00941.TW,中信上游半導體,上市,ETF,00941.TW 中信上游半導體；市場：上市；官方產業別：ETF
